date,Current_measured,Temperature_measured,Current_load,Voltage_load,Voltage_measured
2010-04-21 19:29:11.000,-0.00295291,45.45025267,0.0004,0.0,4.186047952
2010-04-21 19:29:20.343,-0.003276821,45.44827007,0.0004,4.202,4.186620638
2010-04-21 19:29:31.140,-1.006557467,45.47379823,0.9986,3.54,4.028630818
2010-04-21 19:29:41.187,-1.006476911,45.48637215,0.9986,3.535,4.02251373
2010-04-21 19:29:51.218,-1.006319998,45.48908389,0.9986,3.531,4.017545758
2010-04-21 19:30:01.312,-1.008150809,45.51132737,0.9986,3.529,4.013810156
2010-04-21 19:30:11.375,-1.0067182,45.52974069,0.9986,3.527,4.010754235
2010-04-21 19:30:21.468,-1.005501022,45.55505816,0.9986,3.525,4.007772278
2010-04-21 19:30:31.515,-1.007634688,45.58611818,0.9986,3.523,4.005211856
2010-04-21 19:30:41.562,-1.005451167,45.58656329,0.9986,3.521,4.002783453
2010-04-21 19:30:51.625,-1.006150498,45.62017841,0.9986,3.52,4.000530177
2010-04-21 19:31:01.671,-1.005267495,45.65557469,0.9986,3.518,3.998250494
2010-04-21 19:31:11.765,-1.007475065,45.66638016,0.9986,3.516,3.996403111
2010-04-21 19:31:21.843,-1.006421069,45.6893613,0.9986,3.515,3.994291877
2010-04-21 19:31:31.875,-1.004855156,45.70851556,0.9986,3.513,3.992470802
2010-04-21 19:31:41.921,-1.006319631,45.71295928,0.9986,3.511,3.990669382
2010-04-21 19:31:51.937,-1.00696844,45.73484531,0.9986,3.509,3.9889834
2010-04-21 19:32:02.062,-1.006661766,45.78157551,0.9986,3.507,3.98731676
2010-04-21 19:32:12.140,-1.006279966,45.79579125,0.9986,3.506,3.985555336
2010-04-21 19:32:22.187,-1.006871958,45.8129282,0.9986,3.505,3.983945811
2010-04-21 19:32:32.171,-1.007062934,45.8193504,0.9986,3.503,3.982147977
2010-04-21 19:32:42.234,-1.008085328,45.84681047,0.9986,3.501,3.980514002
2010-04-21 19:32:52.312,-1.007272433,45.87630751,0.9986,3.5,3.978910055
2010-04-21 19:33:02.375,-1.008161023,45.91104663,0.9986,3.499,3.977264096
2010-04-21 19:33:12.421,-1.006876805,45.92550818,0.9986,3.497,3.975755064
2010-04-21 19:33:22.484,-1.006057878,45.93771223,0.9986,3.495,3.974174817
2010-04-21 19:33:32.578,-1.006432993,45.95993044,0.9986,3.494,3.97264104
2010-04-21 19:33:42.703,-1.008215065,46.00033292,0.9986,3.493,3.971027771
2010-04-21 19:33:52.750,-1.0074274,45.99599367,0.9986,3.491,3.969506229
2010-04-21 19:34:02.843,-1.007299975,46.01330295,0.9986,3.489,3.967724671
2010-04-21 19:34:12.890,-1.00751996,46.04053147,0.9988,3.488,3.966204171
2010-04-21 19:34:22.890,-1.007894855,46.05872384,0.9986,3.487,3.964720631
2010-04-21 19:34:32.968,-1.006622637,46.07402313,0.9986,3.485,3.963229689
2010-04-21 19:34:43.031,-1.007611554,46.09296579,0.9986,3.484,3.961735272
2010-04-21 19:34:53.093,-1.007670145,46.10368831,0.9986,3.482,3.960159838
2010-04-21 19:35:03.187,-1.006490353,46.11510758,0.9986,3.481,3.958745107
2010-04-21 19:35:13.218,-1.004939173,46.13065223,0.9986,3.479,3.9567254
2010-04-21 19:35:23.250,-1.008407028,46.15412318,0.9986,3.478,3.955376952
