date,Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load
2009-06-29 18:50:48.000,4.184439660191505,-0.008664595365474,25.99456142578159,0.0004,0.0
2009-06-29 18:50:57.297,4.184971879756314,-0.0002557494380831,25.993641606583484,0.0004,4.201
2009-06-29 18:51:09.125,3.9104071067387154,-1.9929414613287797,26.004400159953345,1.999,2.874
2009-06-29 18:51:20.359,3.892552520963192,-1.993559084079703,26.05545510115545,1.999,2.86
2009-06-29 18:51:31.797,3.878962084774384,-1.996604584773105,26.12001697963688,1.999,2.849
2009-06-29 18:51:43.203,3.868030279601616,-1.9933222241175084,26.196471930116218,1.999,2.838
2009-06-29 18:51:54.578,3.858289547681042,-1.9922055508469447,26.293354217890588,1.999,2.825
2009-06-29 18:52:05.953,3.849355778091617,-1.996201638316664,26.389188421059345,1.999,2.816
2009-06-29 18:52:17.328,3.841781535578999,-1.996456276419355,26.480682159472472,1.999,2.808
2009-06-29 18:52:28.734,3.8343243148141375,-1.9979247385001355,26.575386743910247,1.999,2.802
2009-06-29 18:52:40.109,3.828085606866807,-1.9974401112591256,26.67211877028439,1.999,2.796
2009-06-29 18:52:51.453,3.821644111216005,-1.994484828155743,26.773526907785207,1.999,2.791
2009-06-29 18:53:02.859,3.8156021565354457,-1.9968262010117728,26.86883343715137,1.999,2.785
2009-06-29 18:53:14.281,3.8101372516136025,-1.9966841513129336,26.968629494551887,1.999,2.781
2009-06-29 18:53:25.656,3.804644834221997,-1.9979264038002276,27.04819094615142,1.999,2.776
2009-06-29 18:53:37.016,3.799692713042598,-1.994730449067907,27.14349198541857,1.999,2.771
2009-06-29 18:53:48.375,3.794675306136475,-1.9960670472000843,27.235972868491142,1.999,2.767
2009-06-29 18:53:59.766,3.789912359283479,-1.993758797925552,27.336927425057304,1.999,2.763
2009-06-29 18:54:11.125,3.785370448117525,-1.9961796521471356,27.43094498902474,1.999,2.758
2009-06-29 18:54:22.484,3.78097970672193,-1.993730059994264,27.533676086725333,1.999,2.754
2009-06-29 18:54:33.859,3.776848582006327,-1.9969771200434168,27.626055486267884,1.999,2.75
2009-06-29 18:54:45.250,3.7725683882405296,-1.9949507292669704,27.710358560760955,1.999,2.746
2009-06-29 18:54:56.594,3.768661793170998,-1.9940311416131988,27.814065810265003,1.999,2.742
2009-06-29 18:55:07.953,3.7650543540238712,-1.9954282200841775,27.899093660675558,1.999,2.738
2009-06-29 18:55:19.328,3.761176579947269,-1.996135023192964,27.9924271217211,1.999,2.735
2009-06-29 18:55:30.750,3.757376292466698,-1.9955407869312023,28.079789921474017,1.999,2.732
2009-06-29 18:55:42.063,3.753884412991532,-1.9963679854676453,28.16743771447179,1.999,2.729
2009-06-29 18:55:53.406,3.750654578782775,-1.998048090580412,28.2593513336588,1.999,2.725
2009-06-29 18:56:04.750,3.7471207460547458,-1.9959642795945676,28.347245794837075,1.999,2.722
2009-06-29 18:56:16.109,3.7436927257924166,-1.994165745707468,28.43615814854741,1.999,2.719
2009-06-29 18:56:27.500,3.740325004844144,-1.995107524649696,28.53483243846913,1.999,2.716
2009-06-29 18:56:38.891,3.7369039205970975,-1.996718824696244,28.633032673613148,1.999,2.713
