date,Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge
2008-05-18 23:53:33.000,3.675371043756906,-0.004562995880991,26.138518715937767,-0.0006,0.002
2008-05-18 23:53:35.469,3.468149058038774,-2.2564909012037067,26.14133812312545,-2.2691,2.386
2008-05-18 23:53:38.078,3.798397504579584,1.4916033556258026,26.149070349106847,1.4995,4.529
2008-05-18 23:53:40.547,3.809541331001608,1.492661230199653,26.141887931118816,1.4995,4.555
2008-05-18 23:53:43.047,3.8168850414825393,1.492314455358999,26.12919662460226,1.4995,4.555
2008-05-18 23:53:45.562,3.822360887942847,1.4903855175524456,26.117200161801765,1.4995,4.567
2008-05-18 23:53:48.109,3.827124108014495,1.4909299456569172,26.103166065270106,1.4995,4.567
2008-05-18 23:53:50.640,3.8307329229531866,1.4911134779398605,26.09529493514111,1.4995,4.567
2008-05-18 23:53:53.156,3.834074751640429,1.494101946778392,26.08129378642801,1.4995,4.58
2008-05-18 23:53:55.625,3.837063763648164,1.4885824455056194,26.074044998129157,1.4995,4.58
2008-05-18 23:53:58.094,3.839560316527664,1.4920948582870068,26.06430567788481,1.4995,4.58
2008-05-18 23:54:00.562,3.8416201019910288,1.4906834644607785,26.057374849705624,1.4995,4.58
2008-05-18 23:54:03.047,3.8438528038028426,1.4934989621144514,26.04745823435205,1.4995,4.58
2008-05-18 23:54:05.547,3.845899826910198,1.4929901718272232,26.036801854754597,1.4995,4.593
2008-05-18 23:54:08.062,3.8478200374815374,1.4906488301399483,26.030013386644715,1.4995,4.593
2008-05-18 23:54:10.594,3.849485939951365,1.4908346623964908,26.019657243225204,1.4995,4.593
2008-05-18 23:54:13.109,3.851354097446564,1.4905682503070463,26.013608106348563,1.4995,4.593
2008-05-18 23:54:15.625,3.8526099320492926,1.4902583180335962,26.014334631055707,1.4995,4.593
2008-05-18 23:54:18.109,3.854029349675812,1.4906818524933807,26.00347742626104,1.4995,4.593
2008-05-18 23:54:20.578,3.8553963078726494,1.4920602447516622,26.00105060547287,1.4995,4.593
2008-05-18 23:54:23.047,3.856959465573904,1.489738681517279,25.996345721266334,1.4995,4.593
2008-05-18 23:54:25.531,3.858042044901077,1.4912339111144792,25.99076567095825,1.4995,4.605
2008-05-18 23:54:28.000,3.859188847858887,1.4886252593413052,25.986323518018068,1.4995,4.605
2008-05-18 23:54:30.515,3.8606418588307614,1.4936812561438584,25.973157686308763,1.4995,4.605
2008-05-18 23:54:33.109,3.86194893048642,1.4894313405808173,25.966032990741628,1.4995,4.605
2008-05-18 23:54:35.625,3.8633884370046383,1.4952614312435963,25.96564963828728,1.4995,4.605
2008-05-18 23:54:38.156,3.864418222903815,1.4926795338190684,25.96883853602865,1.4995,4.605
2008-05-18 23:54:40.672,3.865415264272035,1.489629309571602,25.957949848009125,1.4995,4.605
2008-05-18 23:54:43.203,3.8664598427189314,1.4926612591592268,25.95551615356168,1.4995,4.605
2008-05-18 23:54:45.719,3.867732177086463,1.491429449612848,25.94273269260935,1.4995,4.605
2008-05-18 23:54:48.265,3.868625437157213,1.490506496203163,25.935874528405336,1.4995,4.605
2008-05-18 23:54:50.797,3.869995011941503,1.491920184273056,25.93484405886617,1.4995,4.605
2008-05-18 23:54:53.312,3.8709632772664064,1.492124737234457,25.929222862341923,1.4995,4.618
2008-05-18 23:54:55.828,3.871936384201788,1.4888264333033467,25.927697026095352,1.4995,4.605
