date,Current_measured,Temperature_measured,Current_load,Voltage_load,Voltage_measured
2010-04-21 19:29:11.000,0.000265551,45.24983537,0.0004,0.0,4.183352957
2010-04-21 19:29:20.343,-0.004103146,45.24547634,0.0004,4.199,4.183371958
2010-04-21 19:29:31.140,-0.998276916,45.26562013,0.9992,3.527,4.04047915
2010-04-21 19:29:41.187,-0.99900003,45.27108861,0.9992,3.521,4.034166482
2010-04-21 19:29:51.218,-0.998173377,45.28092917,0.9992,3.518,4.029493599
2010-04-21 19:30:01.312,-0.99934606,45.29888227,0.9992,3.514,4.0254965
2010-04-21 19:30:11.375,-0.997570795,45.32106963,0.9992,3.509,4.022303157
2010-04-21 19:30:21.468,-0.999167903,45.34388314,0.999,3.505,4.019530893
2010-04-21 19:30:31.515,-0.997686533,45.36495656,0.9992,3.503,4.016681549
2010-04-21 19:30:41.562,-0.998343134,45.36336932,0.9992,3.502,4.014222682
2010-04-21 19:30:51.625,-0.997956773,45.38879593,0.9992,3.501,4.011978201
2010-04-21 19:31:01.671,-0.999289321,45.42636918,0.999,3.499,4.009789456
2010-04-21 19:31:11.765,-0.997533767,45.43474177,0.9992,3.497,4.007962769
2010-04-21 19:31:21.843,-0.997603726,45.45159526,0.999,3.496,4.006070388
2010-04-21 19:31:31.875,-0.998784028,45.4791711,0.9992,3.494,4.004269264
2010-04-21 19:31:41.921,-0.999577461,45.47525259,0.999,3.493,4.002133278
2010-04-21 19:31:51.937,-0.999580911,45.51025855,0.9992,3.491,4.000490074
2010-04-21 19:32:02.062,-0.997711162,45.54034729,0.9992,3.49,3.998662562
2010-04-21 19:32:12.140,-0.999430911,45.54953511,0.9992,3.489,3.997096561
2010-04-21 19:32:22.187,-0.998873197,45.5409243,0.9992,3.488,3.995298522
2010-04-21 19:32:32.171,-0.999108848,45.56873924,0.9992,3.487,3.993895303
2010-04-21 19:32:42.234,-0.999184444,45.57723157,0.9992,3.485,3.992173386
2010-04-21 19:32:52.312,-0.999115629,45.60363662,0.9992,3.485,3.990650029
2010-04-21 19:33:02.375,-0.999412572,45.65019405,0.9992,3.483,3.98872662
2010-04-21 19:33:12.421,-0.999369521,45.64740521,0.9992,3.482,3.987199505
2010-04-21 19:33:22.484,-0.997927271,45.62636815,0.9992,3.481,3.985772198
2010-04-21 19:33:32.578,-0.998112184,45.66502351,0.9992,3.479,3.983878095
2010-04-21 19:33:42.703,-0.998044185,45.7050119,0.9992,3.478,3.982257624
2010-04-21 19:33:52.750,-0.998444461,45.69802352,0.9992,3.477,3.98084227
2010-04-21 19:34:02.843,-0.999074297,45.70180134,0.9992,3.476,3.979261285
2010-04-21 19:34:12.890,-1.000014716,45.74068136,0.999,3.475,3.977506708
2010-04-21 19:34:22.890,-0.998386966,45.7518776,0.9992,3.473,3.975924644
2010-04-21 19:34:32.968,-0.997136066,45.75915903,0.9992,3.472,3.974541454
2010-04-21 19:34:43.031,-0.997285003,45.77635621,0.999,3.471,3.972773822
2010-04-21 19:34:53.093,-0.997670826,45.77636949,0.9992,3.469,3.97132341
2010-04-21 19:35:03.187,-0.999423055,45.7989996,0.9992,3.468,3.969509526
2010-04-21 19:35:13.218,-0.99656529,45.80369222,0.999,3.467,3.968375346
2010-04-21 19:35:23.250,-0.997123696,45.83381472,0.9992,3.465,3.966657596
2010-04-21 19:35:33.296,-0.998051634,45.85483068,0.9992,3.464,3.965194534
2010-04-21 19:35:43.406,-0.999566812,45.85416214,0.9992,3.463,3.963489995
2010-04-21 19:35:53.500,-0.996845318,45.88206059,0.9992,3.461,3.962026199
2010-04-21 19:36:03.546,-0.998575428,45.88488393,0.9992,3.46,3.960460995
2010-04-21 19:36:13.593,-0.999627486,45.87823205,0.9992,3.459,3.958824291
2010-04-21 19:36:23.671,-0.997399046,45.90098184,0.9992,3.457,3.95731736
2010-04-21 19:36:33.734,-0.999199878,45.93226144,0.9992,3.456,3.955656315
2010-04-21 19:36:43.765,-0.998975823,45.9125678,0.9992,3.454,3.954151503
2010-04-21 19:36:53.812,-0.99991,45.92701318,0.9992,3.453,3.952722289
2010-04-21 19:37:03.875,-0.999190259,45.93331673,0.9992,3.451,3.951097954
2010-04-21 19:37:13.968,-1.001642382,45.94635088,0.9992,3.45,3.949495252
2010-04-21 19:37:24.031,-0.998850292,45.94509374,0.9992,3.449,3.947905132
2010-04-21 19:37:34.125,-0.998781831,45.96237872,0.9992,3.447,3.946436349
2010-04-21 19:37:44.171,-0.9990103,45.98137368,0.9992,3.445,3.944813492
2010-04-21 19:37:54.265,-0.999430813,45.98759678,0.9992,3.444,3.94330535
2010-04-21 19:38:04.359,-0.997444286,46.01396811,0.9992,3.443,3.941939652
